id,beer,brewery,city,state,abv
1,Fat Tire Amber Ale,New Belgium,Fort Collins,Colorado,5.2
2,Lunch,Maine Beer Company,Freeport,Maine,7.0
3,Fresher Than Fresh,Civil Society Brewing,Jupiter,Florida,8.7
4,Imperial Zig Zag,Magnify Brewing Company,Fairfield,New Jersey,10.0
5,West Coast IPA,Green Flash Brewing Co.,San Diego,California,8.1
6,Coriolis,New England Brewing Co.,Woodbridge,Connecticut,8.2
7,Black Ice,Molson Coors Canada,Etobicoke,Ontario,6.1
8,Blazing World,Modern Times Beer,San Diego,California,6.8
9,Sierra Nevada Torpedo Extra IPA,Chico,California,7.2
10,Two Juicy,Two Roads Brewing Company,Stratford,Connecticut,8.2